IPAddress,Describe,Time,Forgiveness,Morality,Tone,valenceThen_1,intensityThen_1,Valence Now,Intensity Now,revenge_1,revenge_1,revenge_1,revenge_1,revenge_1,Revenge,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_2,Avoidance,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,Benevolence,age,gender
172.59.190.174,"The person is a friend of mine. She kept insulting my jewelry making techniques even though I kept reminding her that I'm just starting to learn how to do something. Her insistence on negging my work pissed me off because she's holding me up to her expert standards and telling me things I already know as if I'm completely ignorant and know nothing. I've forgiven her and am still friends with her, but I refuse to show her my work until it's more polished. This may seem trivial, but I'm autistic and have been bullied in various ways all of my life. ",45200,Yes,6,1,1,7,1,2,3,1,1,1,1,1.4,3,1,2,3,1,2,2,2,6,5,5,6,2,2,4.333333333,52,Female
99.78.74.208,"I had a close friend who often would judge my actions and say hurtful things about me. This one instance, we were getting food together and he accused me of being someone who only seeked male validation and told me that my friends were all talking behind my back. He also explained to me why my ex-boyfriend was much happier in his current relationship and talked about my mental health.",45139,Yes,6,2,2,6,3,3,2,2,2,2,2,2,5,5,6,5,6,5,3,5,5,3,3,3,5,4,3.833333333,23,Female
73.200.254.238,"My daughter hurt my feelings. We were having a discussion and she told me in so many words that she blamed me for not realizing that she might have been neurodivergent in her childhood. I talked with her and told her I would help her to get tested as an adult now if that's what she wants. I tried not to let her know how hurt I was, and even though I was hurt, I have forgiven her. She hurt me emotionally.",45231,Yes,2,5,3,6,5,7,1,1,1,1,1,1,1,2,2,1,1,1,1,1.285714286,7,7,7,7,7,7,7,54,Female
70.114.235.13,"My college ex boyfriend was extremely emotionally and verbally abusive. I didn't understand it at the time because he was very subtle in his control and manipulation tactics. Since college i have had many years to process our relationship and have sense forgiven him. While it took me years to fully heal, i am happy with where i am now at in life. ","October, 2015",Yes,6,1,2,3,2,2,3,4,3,1,3,2.8,7,7,7,7,7,7,6,6.857142857,3,1,1,1,6,5,2.833333333,31,Female
104.251.240.139,"My sister and I have birthdays that are just a few days apart, we always wish each other happy birthday and send a card, she somehow forgot my birthday one year",43922,Yes,2,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,46,Female
174.230.159.132,"I knew a person in school who was very dismissive of my passion for music. He was rude and negative telling me I'd never amount to anything. I felt repulsed by his negativity but knew he probably had his own internal battles to deal with. He wasn't really a bad person, just really negative and had controversial takes on matters. I forgave him not too shortly after and just stopped talking about music around him. This decision was liberating and I no longer felt animosity towards him. ",43101,Yes,5,4,2,5,5,5,2,3,3,4,2,2.8,5,4,3,3,4,4,3,3.714285714,6,5,4,4,6,4,4.833333333,23,Male
73.28.138.254,"My best friend and I were planning to call one night and I was really looking forward to it, especially because she had just transferred to a different college. She told me she would not be able to call anymore because she was also planning to spend time with her brother. I felt hurt and like I was not a priority to her, but I was also trying to understand her perspective. I prayed about the situation and forgave her, even though I was hurt.","January, 2023",Yes,4,3,2,5,3,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1.285714286,7,7,7,7,7,7,7,20,Female
172.75.151.73,"my mother, in many ways, was very good.  that being said she could be emotionally abusive at times.  at the time of the incident i was an avid social tennis player.  she harped and harped that tennis was taking time away from my family and was inferring i was not a good mother.  in truth, i only played when the children were at school.  i was so mad at my mother because i knew once something was on her radar she would not let in drop.  it went on and on.  i did forgive my mother because the good she did far outweighed the emotional abuse she could dish out.",42856,Yes,2,1,1,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,1,7,6,48,Female
68.119.0.172,"I walked into our kitchen where my partner was. She looked in a bad mood, so I tried to be comedic and tell a joke to get her in a better mood. She seemed to like my joke. However, when I told it, she slapped my left shoulder blade area and left a large welt.","September, 2023",Yes,5,3,5,5,3,2,3,4,5,3,3,3.6,5,3,6,5,3,6,6,4.857142857,3,4,4,3,2,4,3.333333333,39,Male
216.82.28.0,"I generally don't forgive those who have harmed me except for one person, my father. He's mostly a brute and a bully and selfish. He lived by me and would call asking if I want him to visit and bring his grandson his favorite food but then never showed up. He would then drive 2 hours to visit my sister anytime she needed him.",44958,Yes,7,1,1,4,1,3,2,1,4,2,1,2,7,7,7,7,7,7,7,7,4,4,2,2,4,1,2.833333333,34,Female
