att_check,Instructions,Condition,describe,timePerp,checkwant1,moral_1,dim_1,color_1,visualDetail_1,sound_1,smell_1,touch_1,taste_1,vivid_1,detail_1,comprehensible_1,complex_1,realistic_1,location_1,setting_1,spatialArrangementOb_1,spatialArrangmentPeo_1,time_1,year_1,season_1,day_1,hour_1,long_1,tone_1,implications_1,implicationsNow_1,felt_1,valenceThen_1,intensityThen_1,valenceNOw_1,intensityNow_1,thoughts_1,reveal_1,before_1,after_1,accuracy_1,oftenThought_1,oftenTALKED_1,age,gender,Q180,effort
8,1,for,"Some time ago I had a partner who was unfaithful and hurt me a lot, he went on a supposed trip and cheated on me with another","may, 2012",1,5,3,6,5,5,4,5,3,5,5,3,6,7,5,5,5,5,5,5,5,5,6,5,3,5,3,4,2,5,3,5,5,5,3,5,3,5,4,,1,1,15
8,1,for,"I remember once my mother was angry at me for not doing some chores, so she threw a potato at me. It really hurt, and my shoulder didn't feel good for two days, but she felt bad about it as she lost her temper in that moment, and didn't really mean it. She also made up for it by making some of my favorite food (biryani) among other things to show her love. Because of that, I forgave her, and decided to make amends for what we both did. ","May, 2016",1,5,3,4,2,1,1,3,1,2,2,4,2,3,5,6,4,2,2,2,1,1,1,3,2,3,4,5,2,5,3,3,2,5,1,5,3,2,2,19,1,1,15
8,1,for,One of my friends during highschools stole one of my card collections. I was destroyed emotionally because I trusted him like a brother. It took me a lot of time for me to regain the trust that was destroyed when he stole my items. However I eventually came to forgave him over the last couple of years.,19-Mar,1,6,6,3,6,2,2,6,1,6,5,6,2,6,6,6,6,3,5,7,7,7,5,2,2,6,6,5,1,6,2,3,3,2,2,6,2,3,3,19,1,1,15
8,1,for,Someone pushed me to the ground in middle school. It hurt. I was badly bruised after. I did forgive them eventually.,"August, 2015",1,6,4,3,2,5,2,7,1,5,3,5,1,6,6,7,2,5,5,5,5,1,5,2,4,3,1,3,1,5,4,1,3,1,1,5,3,2,1,21,1,1,15
8,1,for,"At the height of the pandemic, I had many friend relationships strained and soured because of the event. Differences in how to function in society, as well as general drifting was making talking and interacting with them more and more displeasing. It hit a peak when I had a very loud falling out with a specific friend that was very close to me, and all the pent up anger and frustration came out very unpleasantly. After that, it took a while for tings to become friendly again, but when it did our relationship emerged stronger than before. ","December, 2020",1,5,7,7,6,7,3,3,2,7,6,6,3,5,7,7,6,6,6,6,6,5,5,3,1,4,4,6,2,6,5,2,4,4,3,5,6,5,2,21,1,1,15
8,1,for,"It was when I was with my girlfriend. I could feel that in the later stages of our relationship things were deteriorating because she did not see as into me as she once was. The thing that hurt the most when she told me she just did not care anymore about how things were going one night. It was like knife being twisted into me. I felt that things were great, we were great until that. I told her how much that hurt and she only apologized next morning. I forgave her because of how much I loved her and had hope her love would come back but it did not.","September, 2017",1,6,6,3,5,2,1,1,1,6,6,7,6,7,7,7,3,7,7,7,7,6,6,7,1,7,7,7,1,7,1,5,7,5,3,6,7,5,5,21,1,1,15
8,1,for,"I came out as homosexual when I was 17. Back then, I had a long time friend that ended up berating me and called me names and used other homophobic language towards me when they found out. We lost touch for a few years because of this strain in our friendship. After time had passed, we rekindled and they ended up apologizing to me for their behavior and told me they've realized it was wrong and they wanted to be friends again. I forgave them, and we are friends once again. though not as close.","March, 2019",1,7,7,7,7,7,1,1,1,7,6,7,2,7,7,7,4,4,5,7,7,6,2,2,1,6,5,7,1,6,2,3,5,4,7,7,6,2,2,21,1,1,15
8,1,for,"My boyfriend enjoys weed. I do not like weed, nor do I like the way he acts when he is high. He knows this as we have talked about it and he has lied to me on multiple occasions about his marijuana use and I have found out. I have forgiven him for the times he has broken my trust.",23-Jul,1,5,7,6,5,5,5,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,5,5,7,1,7,2,3,7,7,5,5,7,6,6,22,1,1,15
8,1,for,"I accidentally called the person the wrong name. They were upset initially and I apologized. This person and I continued our conversation, but they got upset with me about something else and it sent them over the edge. They came up and hit me in my stomach. I forgave them because I understood their anger.",16-Mar,1,2,5,3,5,2,2,5,2,4,5,5,5,5,5,5,5,2,2,5,5,5,5,2,2,2,6,6,3,6,5,2,7,3,3,5,5,3,6,22,1,1,15
8,1,for,I was at home with my sister that was visiting from another city. We got into an argument about the new puppy I had just gotten and somehow an argument formed. I don't remember what the fight was about but she ended up getting so angry that she left in another fight later that night and was screaming that my other sister and I weren't her real sisters because we didn't agree with her. I didn't talk to her for so long that I ended up ending the feud and apologized when I had no reason to.,15-Nov,1,5,6,4,4,2,1,1,1,6,5,6,6,2,7,7,7,7,7,3,6,7,7,5,1,5,3,7,1,6,1,6,6,5,1,6,6,6,5,25,1,1,15
